"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"BMR","BALLYMORE RESOURCES LIMITED","Materials","03/09/2021",18274658
"BMT","BEAMTREE HOLDINGS LIMITED","Health Care Equipment & Services","06/06/2019",63931486
"BNL","BLUE STAR HELIUM LIMITED","Energy","24/11/1994",47585102
"BNO","BIONOMICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/12/1999",14687354
"BNR","BULLETIN RESOURCES LIMITED","Materials","20/12/2010",16147511
"BNZ","BENZ MINING CORP.","Materials","23/12/2020",68000139
"BOA","BOADICEA RESOURCES LIMITED","Materials","11/10/2012",4800522
"BOC","BOUGAINVILLE COPPER LIMITED","Materials","31/12/1970",150398438
"BOD","BOD SCIENCE LIMITED","Consumer Discretionary Distribution & Retail","27/10/2016",16843364
"BOE","BOSS ENERGY LTD","Energy","25/07/2007",1051601970
"BOL","BOOM LOGISTICS LIMITED","Capital Goods","14/10/2003",57749518
"BOQ","BANK OF QUEENSLAND LIMITED.","Banks","24/08/1971",3976165458
"BOT","BOTANIX PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","24/01/1985",184755586
"BP8","BPH GLOBAL LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/06/2000",2669460
"BPH","BPH ENERGY LTD","Financial Services","06/08/2004",19534945
"BPM","BPM MINERALS LIMITED","Materials","30/12/2020",5607638
"BPP","BABYLON PUMP & POWER LIMITED","Capital Goods","13/12/1996",12288857
"BPT","BEACH ENERGY LIMITED","Energy","30/06/1972",3764200532
"BRG","BREVILLE GROUP LIMITED","Consumer Durables & Apparel","25/05/1999",3249703867
"BRI","BIG RIVER INDUSTRIES LIMITED","Materials","01/05/2017",199235690
"BRK","BROOKSIDE ENERGY LIMITED","Energy","31/10/2005",65189093
"BRL","BATHURST RESOURCES LIMITED.","Materials","21/06/2013",189446182
"BRN","BRAINCHIP HOLDINGS LTD","Software & Services","09/11/2011",665646804
"BRU","BURU ENERGY LIMITED","Energy","01/09/2008",57816179
"BRX","BELARAROX LIMITED","Materials","28/01/2022",17891215
"BSA","BSA LIMITED","Commercial & Professional Services","15/11/1999",42905388
"BSE","BASE RESOURCES LIMITED","Materials","02/10/2008",206152074
"BSL","BLUESCOPE STEEL LIMITED","Materials","15/07/2002",10022452924
"BSN","BASIN ENERGY LIMITED","Energy","04/10/2022",10559861
"BSX","BLACKSTONE MINERALS LIMITED","Materials","23/01/2017",56842669
"BTC","BTC HEALTH LTD","Not Applic","29/08/2000",6482466
"BTE","BOTALA ENERGY LTD","Energy","14/07/2022",17704647
"BTH","BIGTINCAN HOLDINGS LIMITED","Software & Services","24/03/2017",273263891
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","Financial Services","21/11/2014",183259525
"BTN","BUTN LIMITED","Financial Services","06/07/2021",32028255
"BTR","BRIGHTSTAR RESOURCES LIMITED","Materials","05/12/2003",17314167
"BUB","BUBS AUSTRALIA LIMITED","Food, Beverage & Tobacco","05/10/1993",142757908
"BUD","BUDDY TECHNOLOGIES LTD","Consumer Durables & Apparel","18/12/2006","SUSPENDED"
"BUR","BURLEY MINERALS LTD","Materials","07/07/2021",14688030
"BUS","BUBALUS RESOURCES LIMITED","Materials","13/10/2022",5217571
"BUX","BUXTON RESOURCES LIMITED","Materials","23/10/2007",23122607
"BUY","BOUNTY OIL & GAS NL","Energy","05/02/2002",9593507
"BVR","BELLAVISTA RESOURCES LTD","Materials","25/05/2022",10692902
"BVS","BRAVURA SOLUTIONS LIMITED.","Software & Services","16/11/2016",224177001
"BWF","BLACKWALL LIMITED","Financial Services","21/10/2011",39813340
"BWP","BWP TRUST","Equity Real Estate Investment Trusts (REITs)","16/09/1998",2357548557
"BWX","BWX LIMITED","Household & Personal Products","11/11/2015","SUSPENDED"
"BXB","BRAMBLES LIMITED","Commercial & Professional Services","27/11/2006",19700339242
"BXN","BIOXYNE LIMITED","Household & Personal Products","14/12/2000",34229617
"BYE","BYRON ENERGY LIMITED","Energy","03/06/2005",99488349
"BYH","BRYAH RESOURCES LIMITED","Materials","17/10/2017",6219095
"C1X","COSMOS EXPLORATION LIMITED","Materials","01/12/2021",20700500
"C29","C29 METALS LIMITED","Materials","03/11/2021",3287684
"C79","CHRYSOS CORPORATION LIMITED","Commercial & Professional Services","06/05/2022",490856845
"C7A","CLARA RESOURCES AUSTRALIA LTD","Materials","21/10/2010",6238288
"CAA","CAPRAL LIMITED","Materials","20/11/1986",136282959
"CAE","CANNINDAH RESOURCES LIMITED","Materials","20/05/2005",84296993
"CAF","CENTREPOINT ALLIANCE LIMITED","Financial Services","25/06/2002",47251653
"CAG","CAPE RANGE LTD","Software & Services","30/11/2017",9490830
"CAI","CALIDUS RESOURCES LIMITED","Materials","13/03/1987",109418375
"CAJ","CAPITOL HEALTH LIMITED","Health Care Equipment & Services","09/06/2006",249927796
"CAM","CLIME CAPITAL LIMITED","Not Applic","03/02/2004",115450378
"CAN","CANN GROUP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017",51090476
"CAQ","CAQ HOLDINGS LIMITED","Real Estate Management & Development","25/07/2005",7895649
"CAR","CARSALES.COM LIMITED.","Media & Entertainment","10/09/2009",9527591404
"CAT","CATAPULT GROUP INTERNATIONAL LTD","Technology Hardware & Equipment","19/12/2014",300317680
"CAV","CARNAVALE RESOURCES LIMITED","Materials","15/03/2007",20001310
"CAY","CANYON RESOURCES LIMITED","Materials","15/06/2010",68056356
"CAZ","CAZALY RESOURCES LIMITED","Materials","31/10/2003",13909686
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","Banks","12/09/1991",177422522734
"CBE","COBRE LIMITED","Materials","31/01/2020",21518325
"CBH","COOLABAH METALS LIMITED","Materials","28/07/2022",5724000
"CBL","CONTROL BIONICS LIMITED","Health Care Equipment & Services","07/12/2020",8090305
"CBO","COBRAM ESTATE OLIVES LIMITED","Food, Beverage & Tobacco","11/08/2021",536347414
"CBR","CARBON REVOLUTION LIMITED","Automobiles & Components","29/11/2019",38187451
"CBY","CANTERBURY RESOURCES LIMITED","Materials","07/03/2019",3757612
"CCA","CHANGE FINANCIAL LIMITED","Financial Services","30/06/2016",34521376
"CCE","CARNEGIE CLEAN ENERGY LIMITED","Utilities","26/10/1993",15642574
"CCG","COMMS GROUP LTD","Telecommunication Services","21/12/2017",27872778
"CCO","THE CALMER CO INTERNATIONAL LIMITED","Household & Personal Products","20/12/2018",2256310
"CCONA","THE CALMER CO INTERNATIONAL LIMITED","Household & Personal Products","20/12/2018",2256310
"CCP","CREDIT CORP GROUP LIMITED","Financial Services","04/09/2000",1404219239
"CCR","CREDIT CLEAR LIMITED","Software & Services","27/10/2020",86633875
"CCV","CASH CONVERTERS INTERNATIONAL","Financial Services","07/02/1997",138059903
"CCX","CITY CHIC COLLECTIVE LIMITED","Consumer Discretionary Distribution & Retail","28/05/1998",122073897
"CCZ","CASTILLO COPPER LIMITED","Materials","14/12/2010",12995054
"CD1","CD PRIVATE EQUITY FUND I","Not Applic","14/08/2012",31068503
"CD2","CD PRIVATE EQUITY FUND II","Not Applic","09/04/2013",64811671
"CD3","CD PRIVATE EQUITY FUND III","Not Applic","27/07/2016",101560072
"CDA","CODAN LIMITED","Technology Hardware & Equipment","27/11/2003",1360572386
"CDD","CARDNO LIMITED","Commercial & Professional Services","20/05/2004",15428962
"CDM","CADENCE CAPITAL LIMITED","Not Applic","05/12/2006",235247623
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","Not Applic","19/11/2021",29034172
"CDP","CARINDALE PROPERTY TRUST","Equity Real Estate Investment Trusts (REITs)","28/11/1996",304393636
"CDR","CODRUS MINERALS LIMITED","Materials","23/06/2021",6713270
"CDT","CASTLE MINERALS LIMITED","Materials","02/05/2006",14056162
"CDX","CARDIEX LIMITED","Health Care Equipment & Services","09/11/2005",24389139
"CE1","CALIMA ENERGY LIMITED","Energy","28/07/2006",52696566
"CEL","CHALLENGER GOLD LIMITED","Materials","07/11/2007",108459741
"CEN","CONTACT ENERGY LIMITED","Utilities","24/09/2015",6044218596
"CF1","COMPLII FINTECH SOLUTIONS LTD","Software & Services","18/12/2001",19232240
"CFO","CFOAM LIMITED","Capital Goods","26/10/2016","SUSPENDED"
"CG1","CARBONXT GROUP LIMITED","Materials","23/01/2018",15416737
"CGB","CANN GLOBAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","14/01/2008","SUSPENDED"
"CGC","COSTA GROUP HOLDINGS LIMITED","Food, Beverage & Tobacco","24/07/2015",1533542317
"CGF","CHALLENGER LIMITED","Financial Services","23/12/2003",4827050006
"CGO","CPT GLOBAL LIMITED","Software & Services","08/09/2000",11102802
"CGS","COGSTATE LTD","Health Care Equipment & Services","13/02/2004",241594675
"CHC","CHARTER HALL GROUP","Equity Real Estate Investment Trusts (REITs)","10/06/2005",5387438097
"CHK","COHIBA MINERALS LIMITED","Materials","01/02/2012",7746355
"CHL","CAMPLIFY HOLDINGS LIMITED","Transportation","28/06/2021",170805411
"CHM","CHIMERIC THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/01/2021",21705521
"CHN","CHALICE MINING LIMITED","Materials","24/03/2006",2326333068
"CHR","CHARGER METALS NL","Materials","09/07/2021",16770879
"CHW","CHILWA MINERALS LTD","Materials","05/07/2023",12096000
"CHZ","CHESSER RESOURCES LIMITED","Materials","29/05/2007",70632162
"CI1","CREDIT INTELLIGENCE LTD","Commercial & Professional Services","10/07/2008",12524874
"CIA","CHAMPION IRON LIMITED","Materials","08/06/2007",3139362275
"CII","CI RESOURCES LIMITED","Materials","24/07/1987","--"
"CIN","CARLTON INVESTMENTS LIMITED","Not Applic","30/06/1970",786827341
"CIO","CONNECTED IO LIMITED","Technology Hardware & Equipment","16/08/1984","SUSPENDED"
"CIP","CENTURIA INDUSTRIAL REIT","Equity Real Estate Investment Trusts (REITs)","13/12/2012",2025428726
"CIW","CLIME INVESTMENT MANAGEMENT LTD","Financial Services","15/12/2000",25361093
"CKA","COKAL LIMITED","Materials","17/04/2000",134868623
"CKF","COLLINS FOODS LIMITED","Consumer Services","04/08/2011",1185423032
"CL8","CARLY HOLDINGS LIMITED","Transportation","09/09/1996",6359260
"CLA","CELSIUS RESOURCES LIMITED.","Materials","24/03/1988",56015497
"CLB","CANDY CLUB HOLDINGS LIMITED","Consumer Staples Distribution & Retail","19/02/2019","SUSPENDED"
"CLE","CYCLONE METALS LIMITED","Materials","07/06/2001",10264505
"CLG","CLOSE THE LOOP LTD.","Commercial & Professional Services","02/12/2021",233870781
"CLT","CELLNET GROUP LIMITED","Technology Hardware & Equipment","17/11/1999",6333460
"CLU","CLUEY LTD","Consumer Services","09/12/2020",20161357
"CLV","CLOVER CORPORATION LIMITED","Materials","30/11/1999",168669334
"CLW","CHARTER HALL LONG WALE REIT","Equity Real Estate Investment Trusts (REITs)","08/11/2016",3007494739
"CLX","CTI LOGISTICS LIMITED","Transportation","02/12/1987",131227300
"CLZ","CLASSIC MINERALS LTD","Materials","24/05/2013",9350768
"CMD","CASSIUS MINING LIMITED","Materials","10/08/2006",17882215
"CMG","CRITICAL MINERALS GROUP LIMITED","Materials","27/09/2022",11460800
"CMM","CAPRICORN METALS LTD","Materials","07/07/2008",1669254297
"CMO","COSMO METALS LIMITED","Materials","31/01/2022",4356488
"CMP","COMPUMEDICS LIMITED","Health Care Equipment & Services","21/12/2000",29231886
"CMW","CROMWELL PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","22/02/1973",1440376684
"CMX","CHEMX MATERIALS LIMITED","Materials","18/01/2022",8349457
"CNB","CARNABY RESOURCES LIMITED","Materials","30/08/2016",171705826
"CNI","CENTURIA CAPITAL GROUP","Equity Real Estate Investment Trusts (REITs)","26/03/2002",1347657598
"CNJ","CONICO LTD","Materials","18/06/2007",10990665
"CNQ","CLEAN TEQ WATER LIMITED","Commercial & Professional Services","02/07/2021",17941740
"CNU","CHORUS LIMITED","Telecommunication Services","21/11/2011",3487027807
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","Software & Services","10/02/2004",37200255
"COB","COBALT BLUE HOLDINGS LIMITED","Materials","02/02/2017",142472149
"COD","CODA MINERALS LTD","Materials","28/10/2020",34117685
"COE","COOPER ENERGY LIMITED","Energy","13/03/2002",368414376
"COF","CENTURIA OFFICE REIT","Equity Real Estate Investment Trusts (REITs)","10/12/2014",872111919
"COG","COG FINANCIAL SERVICES LIMITED","Financial Services","28/01/2003",256440660
"COH","COCHLEAR LIMITED","Health Care Equipment & Services","04/12/1995",15683667459
"COI","COMET RIDGE LIMITED","Energy","16/04/2004",176815290
"COL","COLES GROUP LIMITED.","Consumer Staples Distribution & Retail","21/11/2018",24532716818
"COO","CORUM GROUP LIMITED","Software & Services","28/07/1971",26882181
"COS","COSOL LIMITED","Software & Services","24/01/2020",121015363
"COY","COPPERMOLY LIMITED","Materials","31/01/2008",6891650
"CPM","COOPER METALS LIMITED","Materials","19/11/2021",6243163
"CPN","CASPIN RESOURCES LIMITED","Materials","25/11/2020",21209775
"CPO","CULPEO MINERALS LIMITED","Materials","10/09/2021",4030512
"CPT","CIPHERPOINT LIMITED","Software & Services","03/01/2007",8455839
"CPU","COMPUTERSHARE LIMITED.","Commercial & Professional Services","27/05/1994",15171718214
"CPV","CLEARVUE TECHNOLOGIES LIMITED","Capital Goods","25/05/2018",56464657
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","Equity Real Estate Investment Trusts (REITs)","22/05/2003",1115950817
"CQR","CHARTER HALL RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","15/11/1995",2208672514
"CR1","CONSTELLATION RESOURCES LIMITED","Materials","30/07/2018",6238178
"CR9","CORELLA RESOURCES LTD","Materials","15/01/2008",13952726
"CRB","CARBINE RESOURCES LIMITED","Materials","16/03/2007",4413902
"CRD","CONRAD ASIA ENERGY LTD.","Energy","27/10/2022",239098485
"CRL","COMET RESOURCES LIMITED","Materials","02/03/1994","SUSPENDED"
"CRM","CARBON MINERALS LIMITED","Energy","31/12/1980","SUSPENDED"
"CRN","CORONADO GLOBAL RESOURCES INC.","Materials","23/10/2018",2808059998
"CRR","CRITICAL RESOURCES LIMITED","Materials","03/12/2010",81332498
"CRS","CAPRICE RESOURCES LTD","Materials","05/12/2018",4086493
"CSE","COPPER STRIKE LIMITED","Materials","24/11/2004","SUSPENDED"
"CSF","CATALANO SEAFOOD LTD","Food, Beverage & Tobacco","11/03/2022",3605580
"CSL","CSL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","08/06/1994",129911689373
"CSR","CSR LIMITED","Materials","31/03/1962",2759277133
"CSS","CLEAN SEAS SEAFOOD LIMITED","Food, Beverage & Tobacco","12/12/2005",81917308
"CST","CASTILE RESOURCES LTD","Materials","14/02/2020",13546536
"CSX","CLEANSPACE HOLDINGS LIMITED","Health Care Equipment & Services","23/10/2020",24657467
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","Technology Hardware & Equipment","08/10/1987",4413601
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","Consumer Services","15/12/2010",3068450894
"CTE","CRYOSITE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/05/2002",31726216
"CTM","CENTAURUS METALS LIMITED","Materials","12/01/1989",312894746
"CTN","CATALINA RESOURCES LTD","Materials","18/02/2010",4953948
"CTO","CITIGOLD CORPORATION LIMITED","Materials","23/12/1993",14368295
"CTP","CENTRAL PETROLEUM LIMITED","Energy","07/03/2006",45952532
"CTQ","CARETEQ LIMITED","Health Care Equipment & Services","10/01/2022",4324808
"CTT","CETTIRE LIMITED","Consumer Discretionary Distribution & Retail","18/12/2020",1109403220
"CTV","COLORTV LIMITED","Media & Entertainment","14/12/2017","SUSPENDED"
"CU6","CLARITY PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","25/08/2021",233054717
"CUE","CUE ENERGY RESOURCES LIMITED","Energy","11/12/1995",41887183
"CUF","CUFE LTD","Materials","13/10/2005",15457798
"CUL","CULLEN RESOURCES LIMITED","Materials","23/11/1988",5042909
"CUP","COUNT LIMITED","Commercial & Professional Services","22/12/2010",58552666
"CUS","COPPER SEARCH LIMITED","Materials","15/09/2021",20601986
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/02/2001",901244565
"CVC","CVC LIMITED","Financial Services","27/06/1985",290891994
"CVL","CIVMEC LIMITED","Capital Goods","22/06/2018",459670120
"CVN","CARNARVON ENERGY LIMITED","Energy","16/08/1984",252026167
"CVR","CAVALIER RESOURCES LIMITED","Materials","17/06/2022",5422708
"CVV","CARAVEL MINERALS LIMITED","Materials","03/11/2006",105420562
"CVW","CLEARVIEW WEALTH LIMITED","Insurance","11/12/2003",327214131
"CWP","CEDAR WOODS PROPERTIES LIMITED","Real Estate Management & Development","31/08/1994",426669573
"CWX","CARAWINE RESOURCES LIMITED","Materials","14/12/2017",25586271
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","Commercial & Professional Services","03/05/2005",6144430984
"CXL","CALIX LIMITED","Materials","20/07/2018",748491427
"CXM","CENTREX LIMITED","Materials","19/07/2006",73743483
"CXO","CORE LITHIUM LTD","Materials","11/02/2011",1226621084
"CXU","CAULDRON ENERGY LIMITED","Energy","28/01/2005",6660981
"CXX","CRADLE RESOURCES LIMITED","Materials","16/09/2011","SUSPENDED"
"CXZ","CONNEXION TELEMATICS LTD","Software & Services","01/01/1974",21780238
"CY5","CYGNUS METALS LIMITED","Materials","15/01/2018",69213866
"CYC","CYCLOPHARM LIMITED","Health Care Equipment & Services","18/01/2007",219483403
"CYG","COVENTRY GROUP LIMITED","Capital Goods","27/01/1966",99744347
"CYL","CATALYST METALS LIMITED","Materials","26/07/2006",152248468
"CYM","CYPRIUM METALS LIMITED","Materials","26/04/1985","SUSPENDED"
"CYP","CYNATA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2007",26944768
"CYQ","CYCLIQ GROUP LTD","Consumer Durables & Apparel","21/11/2007",1737583
"CZN","CORAZON MINING LIMITED","Materials","30/06/2005",9154958
"CZR","CZR RESOURCES LTD","Materials","29/08/2006",34181524
"D2O","DUXTON WATER LIMITED","Utilities","16/09/2016",186628865
"D2ON","DUXTON WATER LIMITED","Utilities","16/09/2016",186628865
"DAF","DISCOVERY ALASKA LIMITED","Materials","22/09/2011",6324337
"DAL","DALAROO METALS LTD","Materials","28/09/2021",3777200
"DBF","DUXTON FARMS LTD","Food, Beverage & Tobacco","08/02/2018",59623767
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","Transportation","08/12/2020",1388132668
"DBO","DIABLO RESOURCES LIMITED","Materials","12/10/2021",3725000
"DC2","DC TWO LIMITED","Software & Services","10/11/2020",2483606
"DCC","DIGITALX LIMITED","Software & Services","06/02/1989",29820762
"DCG","DECMIL GROUP LIMITED","Capital Goods","22/04/2005",26443877
"DCL","DOMACOM LIMITED","Financial Services","07/11/2016",13936057
"DCN","DACIAN GOLD LIMITED","Materials","14/11/2012",114379288
"DCX","DISCOVEX RESOURCES LIMITED","Materials","13/12/2007",8256420
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","Capital Goods","06/08/2020",35941909
"DDH","DDH1 LIMITED","Materials","09/03/2021",385049683
"DDR","DICKER DATA LIMITED","Technology Hardware & Equipment","24/01/2011",1452123444
"DDT","DATADOT TECHNOLOGY LIMITED","Automobiles & Components","12/01/2005",6054764
"DEG","DE GREY MINING LIMITED","Materials","03/07/2002",2154943492
"DEL","DELOREAN CORPORATION LIMITED","Utilities","12/04/2021",7550232
"DEM","DE.MEM LIMITED","Utilities","07/04/2017",45357825
"DES","DESOTO RESOURCES LIMITED","Materials","16/12/2022",9339750
"DEV","DEVEX RESOURCES LIMITED","Energy","03/10/2000",118649144
"DGH","DESANE GROUP HOLDINGS LIMITED","Real Estate Management & Development","04/09/1987",39273590
"DGL","DGL GROUP LIMITED","Materials","24/05/2021",225079852
"DGR","DGR GLOBAL LIMITED","Materials","21/08/2003",36529272
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","Media & Entertainment","16/11/2017",2615060613
"DJW","DJERRIWARRH INVESTMENTS LIMITED","Not Applic","28/06/1995",776549378
"DKM","DUKETON MINING LIMITED","Materials","04/08/2014",38458422
"DLI","DELTA LITHIUM LIMITED","Materials","03/11/2017",456643269
"DLM","DOMINION MINERALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","19/03/2004",8695244
"DM1","DESERT METALS LIMITED","Materials","18/12/2020",3917218
"DMC","DESIGN MILK CO LIMITED","Media & Entertainment","24/03/1997","SUSPENDED"
"DME","DOME GOLD MINES LIMITED","Materials","22/10/2013",65344615
"DMG","DRAGON MOUNTAIN GOLD LIMITED","Materials","31/07/2007",3552045
"DMM","DMC MINING LIMITED.","Materials","22/12/2021",3939750
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","Consumer Services","16/05/2005",4355629754
"DNA","DONACO INTERNATIONAL LIMITED","Consumer Services","23/12/2004",56827912
"DNK","DANAKALI LIMITED","Materials","17/10/2003","--"
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","Health Care Equipment & Services","04/12/2020",21087656
"DOR","DORIEMUS PLC","Energy","29/09/2017","SUSPENDED"
"DOU","DOUUGH LIMITED","Telecommunication Services","15/06/2004",5903390
"DOW","DOWNER EDI LIMITED","Commercial & Professional Services","20/12/1990",2975071398
"DRA","DRA GLOBAL LIMITED","Capital Goods","09/07/2021",75411436
"DRE","DREADNOUGHT RESOURCES LTD","Materials","31/10/2006",176369596
"DRO","DRONESHIELD LIMITED","Capital Goods","22/06/2016",176071083
"DRR","DETERRA ROYALTIES LIMITED","Materials","23/10/2020",2521136310
"DRX","DIATREME RESOURCES LIMITED","Materials","22/06/2005",85784460
"DSE","DROPSUITE LIMITED","Software & Services","12/12/1985",176648384
"DSK","DUSK GROUP LIMITED","Consumer Discretionary Distribution & Retail","02/11/2020",78768849
"DTC","DAMSTRA HOLDINGS LIMITED","Software & Services","16/10/2019",32212049
"DTI","DTI GROUP LTD","Technology Hardware & Equipment","09/12/2014",7176823
"DTL","DATA#3 LIMITED","Software & Services","23/12/1997",1165677847
"DTM","DART MINING NL","Materials","10/05/2007",6030053
"DTR","DATELINE RESOURCES LIMITED","Materials","23/06/2011",19708042
"DTZ","DOTZ NANO LIMITED","Technology Hardware & Equipment","13/12/2007",93244524
"DUB","DUBBER CORPORATION LIMITED","Software & Services","30/06/2000",49551172
"DUG","DUG TECHNOLOGY LTD","Software & Services","12/08/2020",187225567
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","Not Applic","19/12/1991",1107510150
"DUN","DUNDAS MINERALS LIMITED","Materials","10/11/2021",5511113
"DUR","DURATEC LIMITED","Capital Goods","04/11/2020",285504028
"DVL","DORSAVI LTD","Pharmaceuticals, Biotechnology & Life Sciences","11/12/2013",7236601
"DVP","DEVELOP GLOBAL LIMITED","Materials","27/04/2007",624688053
"DVR","DIVERGER LIMITED","Financial Services","02/08/2005",32399729
"DXB","DIMERIX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/02/1993",27940251
"DXC","DEXUS CONVENIENCE RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","27/07/2017",347146539
"DXI","DEXUS INDUSTRIA REIT.","Equity Real Estate Investment Trusts (REITs)","03/12/2013",875664957
"DXN","DXN LIMITED","Software & Services","11/04/2018",1721315
"DXS","DEXUS","Equity Real Estate Investment Trusts (REITs)","06/10/2004",8905680237
"DY6","DY6 METALS LTD","Class Pend","29/06/2023",10822500
"DYL","DEEP YELLOW LIMITED","Energy","19/12/1985",526696135
"DYM","DYNAMIC METALS LIMITED","Materials","16/01/2023",11511475
"E25","ELEMENT 25 LIMITED","Materials","09/11/2006","SUSPENDED"
"E33","EAST 33 LIMITED..","Food, Beverage & Tobacco","29/07/2021",14534484
"E79","E79 GOLD MINES LIMITED","Materials","07/10/2021",6100056
"EAX","ENERGY ACTION LIMITED","Commercial & Professional Services","13/10/2011",5872152
"EBG","EUMUNDI GROUP LIMITED","Consumer Services","07/12/1989",52058446
"EBO","EBOS GROUP LIMITED","Health Care Equipment & Services","06/12/2013",6719707360
"EBR","EBR SYSTEMS INC.","Health Care Equipment & Services","24/11/2021",260721326
"ECF","ELANOR COMMERCIAL PROPERTY FUND","Equity Real Estate Investment Trusts (REITs)","06/12/2019",251662301
"ECG","ECARGO HOLDINGS LIMITED","Commercial & Professional Services","28/11/2014",18457500
"ECL","EXCELSIOR CAPITAL LTD","Capital Goods","22/04/1993",73935896
"ECP","ECP EMERGING GROWTH LIMITED","Not Applic","14/08/2014",20539779
"ECS","ECS BOTANICS HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/03/1986",25454805
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","Commercial & Professional Services","05/02/1986",17336274
"EDC","EILDON CAPITAL GROUP","Financial Services","28/02/2017",46715847
"EDE","EDEN INNOVATIONS LTD","Energy","06/06/2006",8990833
"EDU","EDU HOLDINGS LIMITED","Consumer Services","25/06/2004",24782166
"EDV","ENDEAVOUR GROUP LIMITED","Consumer Staples Distribution & Retail","24/06/2021",10942887904
"EEG","EMPIRE ENERGY GROUP LIMITED","Energy","30/08/1984",115968172
"EEL","ENRG ELEMENTS LTD","Materials","01/07/2011",5046171
"EFE","EASTERN RESOURCES LIMITED","Materials","16/05/2008",12419465
"EG1","EVERGREEN LITHIUM LIMITED","Materials","11/04/2023",52512707
"EGG","ENERO GROUP LIMITED","Media & Entertainment","30/04/2004",163431738
"EGH","EUREKA GROUP HOLDINGS LIMITED","Real Estate Management & Development","01/07/2004",132467922
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","Capital Goods","12/02/1981",75099485
"EGN","ENGENCO LIMITED","Capital Goods","14/12/2006",126260102
"EGR","ECOGRAF LIMITED","Materials","29/10/2010",72414700
"EGY","ENERGY TECHNOLOGIES LIMITED","Capital Goods","22/10/1992",18233631
"EHE","ESTIA HEALTH LIMITED","Health Care Equipment & Services","05/12/2014",728578116
"EHL","EMECO HOLDINGS LIMITED","Capital Goods","28/07/2006",363301831
"EIQ","ECHOIQ LIMITED","Software & Services","17/12/2010",76438928
"EL8","ELEVATE URANIUM LTD","Energy","23/10/1985",84748562
"ELD","ELDERS LIMITED","Food, Beverage & Tobacco","30/06/1981",1136019927
"ELE","ELMORE LTD","Materials","25/02/1998",9795687
"ELS","ELSIGHT LIMITED","Technology Hardware & Equipment","08/06/2017",42841081
"ELT","ELEMENTOS LIMITED","Materials","23/12/2009",30184713
"EM2","EAGLE MOUNTAIN MINING LIMITED","Materials","16/03/2018",38120858
"EMB","EMBELTON LIMITED","Capital Goods","01/01/1974",22657499
"EMC","EVEREST METALS CORPORATION LTD","Energy","18/10/2006",24592291
"EMD","EMYRIA LIMITED","Health Care Equipment & Services","12/02/2020",30834931
"EME","ENERGY METALS LTD","Energy","09/09/2005",25161997
"EMH","EUROPEAN METALS HOLDINGS LIMITED","Materials","19/07/2012",158718031
"EML","EML PAYMENTS LIMITED","Financial Services","18/01/2006",306666986
"EMN","EURO MANGANESE INC","Materials","02/10/2018",78520499
"EMP","EMPEROR ENERGY LIMITED","Energy","05/06/1987",3495212
"EMR","EMERALD RESOURCES NL","Materials","22/07/1994",1375517146
"EMS","EASTERN METALS LIMITED","Materials","25/10/2021",4533443
"EMT","EMETALS LIMITED","Not Applic","26/10/2010",7650000
"EMU","EMU NL","Materials","27/02/2008",2900043
"EMUCA","EMU NL","Materials","27/02/2008",2900043
